,City,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Srednekolymsk,34.03,67.46,153.71,80,68,4.18
1,Alkmaar,55.89,52.63,4.75,66,20,14.99
2,Hilo,79.27,19.71,-155.08,57,20,10.29
3,Kapaa,83.52,22.08,-159.32,72,20,8.05
4,Sigli,76.33,5.38,95.96,100,64,2.06
5,Huanuco,50.77,-9.93,-76.24,73,0,2.62
6,Mataura,53.02,-46.19,168.86,85,0,7.2
7,Klaksvik,39.2,62.23,-6.59,80,20,2.24
8,Svetlogorsk,35.6,53.14,59.15,69,48,4.47
9,Itarema,78.13,-2.92,-39.92,73,0,17.38
10,Ushuaia,33.8,-54.81,-68.31,86,75,9.17
11,Ravar,49.15,31.27,56.81,38,0,3.85
12,Betsiamites,42.8,48.94,-68.65,81,75,13.87
13,Strezhevoy,39.2,60.73,77.6,100,40,6.71
14,Taoudenni,73.72,22.68,-3.98,35,20,2.73
15,Arlit,81.64,18.74,7.39,28,80,3.62
16,Upernavik,31.87,72.79,-56.15,100,12,8.88
17,Isangel,73.18,-19.55,169.27,100,32,16.82
18,Albany,60.96,42.65,-73.75,89,90,9.17
19,Khash,42.49,28.22,61.21,42,0,2.73
20,Pozoblanco,60.8,38.38,-4.85,41,0,3.36
21,Jamestown,59.5,-33.21,138.6,78,76,9.66
22,Ponta do Sol,68.14,-20.63,-46,79,36,2.17
23,Nikolskoye,42.8,59.7,30.79,87,75,2.24
24,Lodingen,33.8,68.41,16,100,56,3.36
25,Ajdabiya,77.95,30.75,20.22,31,64,8.21
26,Porto Nacional,80.65,-10.7,-48.41,70,12,4.74
27,Port Elizabeth,74.48,39.31,-74.98,84,1,12.75
28,Salalah,73.4,17.01,54.1,53,0,2.24
29,Hobart,55.4,-42.88,147.33,71,75,18.34
30,Busselton,56.26,-33.64,115.35,100,0,21.52
31,Port Macquarie,75.2,-31.43,152.91,38,0,5.82
32,Pacific Grove,69.12,36.62,-121.92,49,1,4.7
33,Aswan,86,24.09,32.9,27,0,6.93
34,Hermanus,50.14,-34.42,19.24,86,56,6.2
35,Grand Gaube,69.8,-20.01,57.66,77,40,1.12
36,Aberdeen,55.04,45.47,-98.49,86,90,12.75
37,Kawalu,65.8,-7.38,108.21,97,64,1.61
38,Tasiilaq,33.8,65.61,-37.64,74,80,9.17
39,Dikson,38.26,73.51,80.55,100,64,20.51
40,Pevek,43.93,69.7,170.27,92,8,12.01
41,Ancud,44.29,-41.87,-73.83,80,24,5.64
42,Catalina,82.4,8.86,-75.38,88,75,6.93
43,Georgetown,78.8,6.8,-58.16,88,0,4.7
44,Tarbagatay,37.4,51.48,107.36,75,0,2.24
45,Avarua,75.2,-21.21,-159.78,53,40,18.34
46,Porto Novo,71.6,-23.68,-45.44,78,20,4.7
47,Bethel,51.08,60.79,-161.76,96,90,17.22
48,Workington,52.39,54.64,-3.55,88,88,11.79
49,Santa Cruz,72.72,36.97,-122.03,61,1,8.05
50,Hibbing,47.77,47.43,-92.94,86,90,6.93
51,Vaini,68.95,15.34,74.49,97,68,1.95
52,Kamaishi,66.2,39.28,141.86,55,40,3.36
53,Barrow,53.65,-38.31,-60.23,39,32,13.24
54,Caravelas,77.59,-17.73,-39.27,100,0,19.51
55,Khatanga,29.71,71.98,102.47,96,88,5.64
56,Fuerte Olimpo,72.82,-21.04,-57.87,87,20,6.98
57,Balkanabat,57.79,39.51,54.36,54,0,3.96
58,Maceio,71.6,-9.67,-35.74,88,20,4.7
59,Tiksi,24.94,71.64,128.87,100,64,8.99
60,Wanning,51.8,48.64,13.53,76,75,16.11
61,Vestmanna,39.2,62.16,-7.17,80,0,2.24
62,Rikitea,68.5,-23.12,-134.97,100,100,19.51
63,Black River,82.4,18.03,-77.85,78,75,8.05
64,Solnechnyy,48.79,50.72,136.64,84,0,3.74
65,Bluff,73.54,-23.58,149.07,48,0,9.22
66,Turukhansk,33.4,65.8,87.96,94,92,17.72
67,Oksbol,48.76,55.63,8.29,87,92,20.8
68,College,61.03,64.86,-147.8,7,1,4.7
69,Howard Springs,87.8,-12.5,131.05,43,20,8.05
70,Kattivakkam,78.8,13.22,80.32,88,40,5.97
71,Yellowknife,28.4,62.45,-114.38,63,75,16.11
72,Bredasdorp,44.6,-34.53,20.04,81,76,2.24
73,Harper,77.74,30.3,-99.24,78,1,10.67
74,Cape Town,55.4,-33.93,18.42,62,0,20.8
75,Sibolga,68.68,1.74,98.78,100,24,2.17
76,Tongzi,56.89,28.78,105.09,100,100,7.87
77,Saskylakh,22.6,71.97,114.09,89,68,3.29
78,Kamloops,37.4,50.68,-120.34,64,90,20.8
79,Virginia Beach,72.59,36.85,-75.98,84,75,4.7
80,Luderitz,58.15,-26.65,15.16,75,0,22.3
81,Egvekinot,46.63,66.32,-179.17,100,92,4.74
82,Atuona,79.12,-9.8,-139.03,100,56,8.21
83,Bouca,69.13,6.51,18.28,96,68,5.53
84,Waddan,72.46,29.16,16.14,56,0,4.29
85,Clyde River,14,70.47,-68.59,100,75,4.7
86,Castro,44.92,-42.48,-73.76,82,80,5.97
87,Victoria,78.6,5.28,115.24,94,75,3.36
88,Gimli,40.42,50.63,-96.99,100,92,9.33
89,Lebu,47.26,8.96,38.73,80,0,5.41
90,Esik,46.4,43.36,77.47,75,40,2.24
91,Iqaluit,32,63.75,-68.52,100,90,14.99
92,Kodiak,82.04,39.95,-94.76,62,1,11.41
93,Yar-Sale,34.12,66.83,70.83,100,12,9.33
94,Saint-Philippe,50.34,45.36,-73.48,93,90,10.29
95,Butaritari,84.61,3.07,172.79,100,0,4.18
96,Sao Filipe,78.94,14.9,-24.5,96,0,13.47
97,Makakilo City,84.56,21.35,-158.09,65,1,8.05
98,Chokurdakh,33.94,70.62,147.9,100,80,5.86
99,Ucluelet,55.4,48.94,-125.55,66,20,8.05
100,Chuy,51.13,-33.69,-53.46,83,68,6.08
101,Severo-Kurilsk,50.77,50.68,156.12,84,24,15.26
102,Port Alfred,60.67,-33.59,26.89,99,36,21.74
103,Comodoro Rivadavia,53.6,-45.87,-67.48,23,0,8.05
104,New Norfolk,55.4,-42.78,147.06,71,75,18.34
105,Bambous Virieux,69.8,-20.34,57.76,77,40,1.12
106,Puerto Ayora,75.2,-0.74,-90.35,69,75,5.82
107,Ilulissat,26.6,69.22,-51.1,45,0,10.29
108,Nanortalik,34.39,60.14,-45.24,100,88,4.74
109,Mahebourg,69.8,-20.41,57.7,77,40,1.12
110,East London,61.84,-33.02,27.91,100,92,31.59
111,Provideniya,51.8,64.42,-173.23,87,90,20.13
112,Paveh,50.68,35.05,46.36,74,0,1.83
113,Suntar,41.41,62.16,117.65,86,36,8.1
114,Igra,45.19,57.55,53.1,84,92,10.78
115,Darhan,45.37,49.49,105.92,55,0,12.01
116,Qaanaaq,23.14,77.48,-69.36,100,12,9.1
117,San Policarpo,75.52,12.18,125.51,100,92,6.31
118,Baykit,31.24,61.68,96.39,73,56,11.12
119,Yanam,79.75,16.73,82.22,81,0,3.29
120,Airai,74.71,-8.93,125.41,66,0,2.28
121,Cidreira,61.21,-30.17,-50.22,100,92,12.01
122,Alice Springs,89.6,-23.7,133.88,9,0,12.75
123,Punta Arenas,39.2,-53.16,-70.91,86,75,20.8
124,Vanimo,84.25,-2.67,141.3,100,0,9.66
125,Great Bend,83.73,38.36,-98.78,44,1,18.34
126,Petropavlovsk-Kamchatskiy,53.6,53.05,158.65,74,0,20.13
127,Challapata,37.72,-18.9,-66.78,50,0,0.27
128,Chihuahua,78.8,28.66,-106.08,50,75,3.36
